"assay"	"Sample.Name"	"pool"	"dil"	"run"	"rep"	"CT"
"Assay01"	"2"	1	7	2	7	31.6669998168945
"Assay01"	"2"	1	8	2	7	31.8640003204346
"Assay01"	"2"	1	8	2	7	31.5310001373291
"Assay01"	"2"	2	1	2	1	24.3369998931885
"Assay01"	"2"	2	1	2	1	24.4349994659424
"Assay01"	"2"	2	2	2	1	25.3169994354248
"Assay01"	"2"	2	2	2	1	25.3419990539551
"Assay01"	"2"	2	3	2	1	26.4950008392334
"Assay01"	"2"	2	3	2	1	26.5520000457764
"Assay01"	"2"	2	4	2	1	27.5790004730225
"Assay01"	"2"	2	4	2	1	27.6870002746582
"Assay01"	"2"	2	5	2	1	28.2719993591309
"Assay01"	"2"	2	5	2	1	28.5200004577637
"Assay01"	"2"	2	6	2	1	30.0349998474121
"Assay01"	"2"	2	6	2	1	30.4650001525879
"Assay01"	"2"	2	7	2	1	30.8729991912842
"Assay01"	"2"	2	7	2	1	31.0970001220703
"Assay01"	"2"	2	8	2	1	31.7919998168945
"Assay01"	"2"	2	8	2	1	31.7119998931885
"Assay01"	"2"	2	1	2	2	24.3169994354248
"Assay01"	"2"	2	1	2	2	24.5830001831055
"Assay01"	"2"	2	2	2	2	25.6030006408691
"Assay01"	"2"	2	2	2	2	25.7859992980957
"Assay01"	"2"	2	3	2	2	26.4039993286133
"Assay01"	"2"	2	3	2	2	26.4890003204346
"Assay01"	"2"	2	4	2	2	27.9230003356934
"Assay01"	"2"	2	4	2	2	27.9759998321533
"Assay01"	"2"	2	5	2	2	28.3309993743896
"Assay01"	"2"	2	5	2	2	28.57200050354
"Assay01"	"2"	2	6	2	2	28.9039993286133
"Assay01"	"2"	2	6	2	2	28.9689998626709
"Assay01"	"2"	2	7	2	2	30.7450008392334
"Assay01"	"2"	2	7	2	2	30.9780006408691
"Assay01"	"2"	2	8	2	2	32.9210014343262
"Assay01"	"2"	2	8	2	2	33.1570014953613
"Assay01"	"2"	2	1	2	3	24.3840007781982
"Assay01"	"2"	2	1	2	3	24.4549999237061
"Assay01"	"2"	2	2	2	3	25.568000793457
"Assay01"	"2"	2	2	2	3	25.7709999084473
"Assay01"	"2"	2	3	2	3	26.7000007629395
"Assay01"	"2"	2	3	2	3	26.6550006866455
"Assay01"	"2"	2	4	2	3	27.4330005645752
"Assay01"	"2"	2	4	2	3	27.3959999084473
"Assay01"	"2"	2	5	2	3	28.6560001373291
"Assay01"	"2"	2	5	2	3	28.4710006713867
"Assay01"	"2"	2	6	2	3	30.1180000305176
"Assay01"	"2"	2	6	2	3	30.1529998779297
"Assay01"	"2"	2	7	2	3	33.390998840332
"Assay01"	"2"	2	7	2	3	33.0209999084473
"Assay01"	"2"	2	8	2	3	31.3600006103516
"Assay01"	"2"	2	8	2	3	31.1100006103516
"Assay01"	"2"	2	1	2	4	24.4309997558594
"Assay01"	"2"	2	1	2	4	24.4790000915527
"Assay01"	"2"	2	2	2	4	25.3689994812012
"Assay01"	"2"	2	2	2	4	25.4839992523193
"Assay01"	"2"	2	3	2	4	26.7399997711182
"Assay01"	"2"	2	3	2	4	26.7049999237061
"Assay01"	"2"	2	4	2	4	27.7880001068115
"Assay01"	"2"	2	4	2	4	27.8850002288818
"Assay01"	"2"	2	5	2	4	28.9979991912842
"Assay01"	"2"	2	5	2	4	29.121000289917
"Assay01"	"2"	2	6	2	4	29.3640003204346
"Assay01"	"2"	2	6	2	4	29.8780002593994
"Assay01"	"2"	2	7	2	4	30.9650001525879
"Assay01"	"2"	2	7	2	4	30.6679992675781
"Assay01"	"2"	2	8	2	4	33.0219993591309
"Assay01"	"2"	2	8	2	4	32.6129989624023
"Assay01"	"2"	2	1	2	5	24.3840007781982
"Assay01"	"2"	2	1	2	5	24.5669994354248
"Assay01"	"2"	2	2	2	5	25.6959991455078
